Species,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
HEISCO,N,leafnp,30.71211095,30.20277386,4.560076301,0.614452534,2.28003815,0.307226267,4,4
HEISCO,P,leafnp,30.71211095,15.77326007,4.560076301,3.378053714,2.28003815,2.388644689,4,2
HEISCO,NP,leafnp,30.71211095,14.6675107,4.560076301,2.155205504,2.28003815,1.077602752,4,4
TET2PA,N,leafnp,22.60295858,23.56345065,3.041176491,4.024479096,1.520588245,2.012239548,4,4
TET2PA,P,leafnp,22.60295858,14.5339092,3.041176491,2.877798518,1.520588245,1.438899259,4,4
TET2PA,NP,leafnp,22.60295858,18.01479038,3.041176491,1.108327214,1.520588245,0.554163607,4,4
OENOMA,N,leafnp,18.82529468,19.35492733,0.901355873,1.12219962,0.450677937,0.56109981,4,4
OENOMA,P,leafnp,18.82529468,17.90420008,0.901355873,1.325553591,0.450677937,0.662776796,4,4
OENOMA,NP,leafnp,18.82529468,16.51010318,0.901355873,0.990726277,0.450677937,0.495363138,4,4
ALSEBL,N,cica,0.884566198,0.848141368,0.026830227,0.023536574,0.015490439,0.011768287,3,4
ALSEBL,P,cica,0.884566198,0.874119807,0.026830227,0.036003793,0.015490439,0.018001896,3,4
ALSEBL,NP,cica,0.884566198,0.817873826,0.026830227,0.050014802,0.015490439,0.02887606,3,3
HEISCO,N,cica,0.944783904,0.900465047,0.017929892,0.034095788,0.008964946,0.017047894,4,4
HEISCO,P,cica,0.944783904,0.818706936,0.017929892,0.078844287,0.008964946,0.04552077,4,3
HEISCO,NP,cica,0.944783904,0.893931576,0.017929892,0.052860945,0.008964946,0.026430472,4,4
TET2PA,N,cica,0.816617662,0.874345979,0.039501202,0.028615656,0.019750601,0.014307828,4,4
TET2PA,P,cica,0.816617662,0.809030585,0.039501202,0.03906091,0.019750601,0.019530455,4,4
TET2PA,NP,cica,0.816617662,0.866286187,0.039501202,0.040827421,0.019750601,0.020413711,4,4
OENOMA,N,cica,0.866869873,0.877868326,0.039875751,0.03858394,0.019937876,0.01929197,4,4
OENOMA,P,cica,0.866869873,0.880541287,0.039875751,0.017830473,0.019937876,0.008915237,4,4
OENOMA,NP,cica,0.866869873,0.892483056,0.039875751,0.01402165,0.019937876,0.007010825,4,4
