site_code,Taxon,exp_duration,trt,trait,mean_control,mean_trt,sd_control,sd_trt,se_control,se_trt,n_control,n_trt
look.us,erigeron_aliceae,4,P,lma,23.248,37.725,1.469,25.686,0.848,14.830,3,3
look.us,erigeron_aliceae,4,NP,lma,23.248,24.168,1.469,1.504,0.848,1.064,3,2
mcla.us,bromus_hordeaceus,4,N,lma,98.846,110.167,8.616,17.307,6.093,9.992,2,3
mcla.us,bromus_hordeaceus,4,P,lma,98.846,72.900,8.616,15.522,6.093,10.976,2,2
mcla.us,bromus_hordeaceus,4,NP,lma,98.846,89.522,8.616,2.396,6.093,1.694,2,2
mtca.au,pentaschistis_airoides,3,N,lma,109.858,74.353,20.057,24.161,10.028,13.949,4,3
mtca.au,pentaschistis_airoides,3,P,lma,109.858,79.197,20.057,39.444,10.028,19.722,4,4
mtca.au,pentaschistis_airoides,3,NP,lma,109.858,87.893,20.057,18.357,10.028,9.179,4,4
mtca.au,waitzia_acuminata,3,N,lma,169.029,225.480,42.233,204.161,21.116,102.080,4,4
mtca.au,waitzia_acuminata,3,P,lma,169.029,182.309,42.233,104.770,21.116,52.385,4,4
mtca.au,waitzia_acuminata,3,NP,lma,169.029,265.357,42.233,52.166,21.116,26.083,4,4
saline.us,schizachyrium_scoparium,4,N,lma,72.766,60.052,7.402,1.162,4.274,0.671,3,3
saline.us,schizachyrium_scoparium,4,P,lma,72.766,72.341,7.402,21.134,4.274,12.201,3,3
saline.us,schizachyrium_scoparium,4,NP,lma,72.766,58.249,7.402,5.544,4.274,3.201,3,3
saline.us,sporobolus_compositus,4,N,lma,118.850,97.413,8.029,4.918,4.635,2.839,3,3
saline.us,sporobolus_compositus,4,P,lma,118.850,112.512,8.029,13.255,4.635,7.653,3,3
saline.us,sporobolus_compositus,4,NP,lma,118.850,128.140,8.029,16.931,4.635,9.775,3,3
sgs.us,carex_duriuscula,4,N,lma,109.300,103.626,2.269,16.544,1.310,9.552,3,3
sgs.us,carex_duriuscula,4,P,lma,109.300,102.181,2.269,4.411,1.310,2.547,3,3
sgs.us,carex_duriuscula,4,NP,lma,109.300,99.148,2.269,2.258,1.310,1.304,3,3
sgs.us,chondrosum_gracile,4,N,lma,117.602,101.272,7.676,8.750,4.432,5.052,3,3
sgs.us,chondrosum_gracile,4,P,lma,117.602,115.865,7.676,3.893,4.432,2.753,3,2
sgs.us,chondrosum_gracile,4,NP,lma,117.602,114.482,7.676,11.101,4.432,6.409,3,3
shps.us,artemisia_tripartita,4,N,lma,85.314,76.129,11.242,23.855,7.949,16.868,2,2
shps.us,artemisia_tripartita,4,P,lma,85.314,83.774,11.242,9.697,7.949,6.857,2,2
shps.us,artemisia_tripartita,4,NP,lma,85.314,82.842,11.242,15.162,7.949,10.721,2,2
smith.us,anthoxanthum_odoratum,4,N,lma,57.664,52.308,7.070,6.763,4.082,3.904,3,3
smith.us,anthoxanthum_odoratum,4,P,lma,57.664,57.834,7.070,8.094,4.082,4.673,3,3
smith.us,anthoxanthum_odoratum,4,NP,lma,57.664,52.876,7.070,1.357,4.082,0.960,3,2
smith.us,plantago_lanceolata,4,N,lma,108.913,101.086,3.561,7.434,2.056,5.256,3,2
smith.us,plantago_lanceolata,4,P,lma,108.913,98.804,3.561,3.213,2.056,2.272,3,2
smith.us,plantago_lanceolata,4,NP,lma,108.913,93.061,3.561,10.825,2.056,7.655,3,2
summ.za,themeda_triandra,2,N,lma,563.829,510.472,39.877,28.312,23.023,16.346,3,3
summ.za,themeda_triandra,2,P,lma,563.829,523.858,39.877,63.015,23.023,36.382,3,3
summ.za,themeda_triandra,2,NP,lma,563.829,559.439,39.877,60.954,23.023,35.192,3,3
valm.ch,anthoxanthum_odoratum,3,N,lma,120.146,54.650,113.754,4.944,65.676,2.855,3,3
valm.ch,anthoxanthum_odoratum,3,P,lma,120.146,118.556,113.754,78.839,65.676,45.518,3,3
valm.ch,anthoxanthum_odoratum,3,NP,lma,120.146,60.163,113.754,5.205,65.676,3.005,3,3
valm.ch,festuca_rubra,3,N,lma,130.139,151.124,32.203,87.091,18.592,50.282,3,3
valm.ch,festuca_rubra,3,P,lma,130.139,126.253,32.203,18.596,18.592,10.737,3,3
valm.ch,festuca_rubra,3,NP,lma,130.139,116.746,32.203,0.971,18.592,0.560,3,3
valm.ch,galium_anisophyllon,3,N,lma,73.545,72.777,11.156,2.860,6.441,1.651,3,3
valm.ch,galium_anisophyllon,3,P,lma,73.545,63.014,11.156,7.021,6.441,4.054,3,3
valm.ch,galium_anisophyllon,3,NP,lma,73.545,63.482,11.156,8.227,6.441,4.750,3,3
valm.ch,potentilla_crantzii,3,N,lma,100.711,95.202,18.016,9.787,10.401,5.651,3,3
valm.ch,potentilla_crantzii,3,P,lma,100.711,87.044,18.016,8.439,10.401,4.872,3,3
valm.ch,potentilla_crantzii,3,NP,lma,100.711,92.288,18.016,3.081,10.401,1.779,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,N,lma,70.683,68.261,7.188,3.909,4.150,2.257,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,P,lma,70.683,69.477,7.188,8.720,4.150,5.034,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,NP,lma,70.683,67.179,7.188,14.628,4.150,8.445,3,3
valm.ch,trifolium_pratense,3,N,lma,66.586,70.232,9.251,20.597,5.341,11.892,3,3
valm.ch,trifolium_pratense,3,P,lma,66.586,70.649,9.251,9.544,5.341,5.510,3,3
valm.ch,trifolium_pratense,3,NP,lma,66.586,64.292,9.251,13.882,5.341,8.015,3,3
bogong.au,craspedia_jamesii,2,N,nmass,2.375,2.669,0.401,0.679,0.232,0.480,3,2
bogong.au,craspedia_jamesii,2,P,nmass,2.375,2.626,0.401,0.205,0.232,0.145,3,2
bogong.au,craspedia_jamesii,2,NP,nmass,2.375,2.935,0.401,0.453,0.232,0.262,3,3
bogong.au,poa_hiemata,2,N,nmass,1.077,1.458,0.262,0.043,0.151,0.025,3,3
bogong.au,poa_hiemata,2,P,nmass,1.077,1.370,0.262,0.049,0.151,0.028,3,3
bogong.au,poa_hiemata,2,NP,nmass,1.077,1.356,0.262,0.321,0.151,0.227,3,2
bogong.au,rumex_acetosella,2,N,nmass,2.514,2.903,0.356,0.621,0.205,0.439,3,2
bogong.au,rumex_acetosella,2,P,nmass,2.514,2.098,0.356,0.064,0.205,0.037,3,3
bogong.au,rumex_acetosella,2,NP,nmass,2.514,2.816,0.356,0.442,0.205,0.255,3,3
burrawan.au,epaltes_australis,3,N,nmass,3.157,2.962,0.542,0.560,0.313,0.324,3,3
burrawan.au,epaltes_australis,3,P,nmass,3.157,3.186,0.542,1.105,0.313,0.638,3,3
burrawan.au,epaltes_australis,3,NP,nmass,3.157,3.344,0.542,0.423,0.313,0.244,3,3
burrawan.au,eragrostis_curvula,3,N,nmass,1.109,1.440,0.110,0.111,0.063,0.064,3,3
burrawan.au,eragrostis_curvula,3,P,nmass,1.109,1.174,0.110,0.124,0.063,0.072,3,3
burrawan.au,eragrostis_curvula,3,NP,nmass,1.109,1.625,0.110,0.240,0.063,0.169,3,2
burrawan.au,eragrostis_sororia,3,N,nmass,1.616,1.813,0.017,0.058,0.012,0.034,2,3
burrawan.au,eragrostis_sororia,3,P,nmass,1.616,1.566,0.017,0.255,0.012,0.147,2,3
burrawan.au,eragrostis_sororia,3,NP,nmass,1.616,1.890,0.017,0.221,0.012,0.128,2,3
burrawan.au,fimbristylis_dichotoma,3,N,nmass,1.425,1.582,0.176,0.376,0.102,0.217,3,3
burrawan.au,fimbristylis_dichotoma,3,P,nmass,1.425,1.329,0.176,0.145,0.102,0.084,3,3
burrawan.au,fimbristylis_dichotoma,3,NP,nmass,1.425,1.755,0.176,0.198,0.102,0.114,3,3
cbgb.us,schizachyrium_scoparium,3,N,nmass,1.196,1.575,0.288,0.119,0.166,0.084,3,2
cbgb.us,schizachyrium_scoparium,3,P,nmass,1.196,1.221,0.288,0.310,0.166,0.179,3,3
cbgb.us,schizachyrium_scoparium,3,NP,nmass,1.196,1.856,0.288,0.200,0.166,0.116,3,3
cowi.ca,alopecurus_pratensis,4,N,nmass,2.637,2.698,0.671,0.356,0.388,0.206,3,3
cowi.ca,alopecurus_pratensis,4,P,nmass,2.637,3.405,0.671,2.202,0.388,1.271,3,3
cowi.ca,alopecurus_pratensis,4,NP,nmass,2.637,2.582,0.671,0.184,0.388,0.106,3,3
elliot.us,erodium_botrys,3,N,nmass,3.477,3.073,0.222,0.082,0.128,0.048,3,3
elliot.us,erodium_botrys,3,P,nmass,3.477,2.817,0.222,0.504,0.128,0.291,3,3
elliot.us,erodium_botrys,3,NP,nmass,3.477,3.373,0.222,0.329,0.128,0.190,3,3
elliot.us,lolium_multiflorum,3,N,nmass,2.852,3.294,0.081,0.036,0.047,0.025,3,2
elliot.us,lolium_multiflorum,3,P,nmass,2.852,2.997,0.081,0.353,0.047,0.249,3,2
elliot.us,lolium_multiflorum,3,NP,nmass,2.852,2.950,0.081,0.721,0.047,0.416,3,3
elliot.us,nassella_pulchra,3,N,nmass,2.564,2.465,0.361,0.049,0.209,0.028,3,3
elliot.us,nassella_pulchra,3,P,nmass,2.564,2.022,0.361,0.117,0.209,0.083,3,2
elliot.us,nassella_pulchra,3,NP,nmass,2.564,2.485,0.361,0.238,0.209,0.137,3,3
frue.ch,alopecurus_pratensis,3,N,nmass,2.421,2.695,0.435,0.051,0.251,0.029,3,3
frue.ch,alopecurus_pratensis,3,P,nmass,2.421,1.894,0.435,0.392,0.251,0.226,3,3
frue.ch,alopecurus_pratensis,3,NP,nmass,2.421,3.475,0.435,1.698,0.251,0.981,3,3
frue.ch,dactylis_glomerata,3,N,nmass,3.997,3.454,0.707,0.169,0.500,0.098,2,3
frue.ch,dactylis_glomerata,3,P,nmass,3.997,2.705,0.707,1.036,0.500,0.598,2,3
frue.ch,dactylis_glomerata,3,NP,nmass,3.997,3.572,0.707,0.626,0.500,0.443,2,2
gilb.za,diheteropogon_filifolius,2,N,nmass,1.062,1.283,0.078,0.207,0.045,0.120,3,3
gilb.za,diheteropogon_filifolius,2,P,nmass,1.062,1.175,0.078,0.012,0.045,0.008,3,2
gilb.za,diheteropogon_filifolius,2,NP,nmass,1.062,1.412,0.078,0.354,0.045,0.205,3,3
gilb.za,heteropogon_contortus,2,N,nmass,1.662,1.811,0.217,0.187,0.125,0.108,3,3
gilb.za,heteropogon_contortus,2,P,nmass,1.662,1.657,0.217,0.246,0.125,0.142,3,3
gilb.za,heteropogon_contortus,2,NP,nmass,1.662,2.026,0.217,0.307,0.125,0.177,3,3
kiny.au,avena_barbata,4,N,nmass,3.351,3.712,0.241,1.460,0.170,0.843,2,3
kiny.au,avena_barbata,4,P,nmass,3.351,3.553,0.241,0.843,0.170,0.487,2,3
kiny.au,avena_barbata,4,NP,nmass,3.351,3.139,0.241,0.920,0.170,0.650,2,2
kiny.au,rytidosperma_sp.,4,N,nmass,2.576,3.851,0.824,2.333,0.476,1.650,3,2
kiny.au,rytidosperma_sp.,4,P,nmass,2.576,2.597,0.824,0.227,0.476,0.161,3,2
kiny.au,rytidosperma_sp.,4,NP,nmass,2.576,2.613,0.824,0.485,0.476,0.343,3,2
lancaster.uk,agrostis_capillaris,3,N,nmass,4.502,4.496,0.304,0.887,0.176,0.512,3,3
lancaster.uk,agrostis_capillaris,3,P,nmass,4.502,4.089,0.304,0.386,0.176,0.223,3,3
lancaster.uk,agrostis_capillaris,3,NP,nmass,4.502,4.712,0.304,0.769,0.176,0.444,3,3
lancaster.uk,holcus_lanatus,3,N,nmass,4.684,4.629,0.907,0.465,0.523,0.269,3,3
lancaster.uk,holcus_lanatus,3,P,nmass,4.684,4.131,0.907,0.356,0.523,0.205,3,3
lancaster.uk,holcus_lanatus,3,NP,nmass,4.684,4.755,0.907,0.959,0.523,0.554,3,3
look.us,carex_pensylvanica,4,N,nmass,3.701,4.480,0.016,0.567,0.011,0.328,2,3
look.us,carex_pensylvanica,4,P,nmass,3.701,4.039,0.016,1.047,0.011,0.741,2,2
look.us,carex_pensylvanica,4,NP,nmass,3.701,4.613,0.016,0.242,0.011,0.171,2,2
look.us,erigeron_aliceae,4,N,nmass,4.852,5.583,0.484,0.448,0.279,0.259,3,3
look.us,erigeron_aliceae,4,P,nmass,4.852,4.753,0.484,0.769,0.279,0.444,3,3
look.us,erigeron_aliceae,4,NP,nmass,4.852,5.894,0.484,0.031,0.279,0.022,3,2
mcla.us,bromus_hordeaceus,4,N,nmass,2.416,3.676,0.197,0.978,0.140,0.565,2,3
mcla.us,bromus_hordeaceus,4,P,nmass,2.416,2.822,0.197,0.726,0.140,0.513,2,2
mcla.us,bromus_hordeaceus,4,NP,nmass,2.416,3.054,0.197,0.917,0.140,0.649,2,2
mtca.au,waitzia_acuminata,3,N,nmass,3.655,4.184,0.762,0.963,0.440,0.481,3,4
mtca.au,waitzia_acuminata,3,P,nmass,3.655,2.218,0.762,0.256,0.440,0.128,3,4
mtca.au,waitzia_acuminata,3,NP,nmass,3.655,2.574,0.762,0.673,0.440,0.337,3,4
sgs.us,carex_duriuscula,4,N,nmass,2.300,2.798,0.446,0.069,0.257,0.040,3,3
sgs.us,carex_duriuscula,4,P,nmass,2.300,2.356,0.446,0.310,0.257,0.179,3,3
sgs.us,carex_duriuscula,4,NP,nmass,2.300,2.821,0.446,0.111,0.257,0.064,3,3
sgs.us,chondrosum_gracile,4,N,nmass,2.112,3.307,0.186,0.102,0.107,0.059,3,3
sgs.us,chondrosum_gracile,4,P,nmass,2.112,2.454,0.186,0.130,0.107,0.092,3,2
sgs.us,chondrosum_gracile,4,NP,nmass,2.112,2.828,0.186,0.057,0.107,0.033,3,3
shps.us,artemisia_tripartita,4,N,nmass,3.251,3.169,1.337,0.797,0.946,0.563,2,2
shps.us,artemisia_tripartita,4,P,nmass,3.251,2.289,1.337,0.035,0.946,0.025,2,2
shps.us,artemisia_tripartita,4,NP,nmass,3.251,3.465,1.337,0.107,0.946,0.076,2,2
smith.us,anthoxanthum_odoratum,4,N,nmass,1.425,2.442,0.422,0.490,0.244,0.283,3,3
smith.us,anthoxanthum_odoratum,4,P,nmass,1.425,1.673,0.422,0.804,0.244,0.464,3,3
smith.us,anthoxanthum_odoratum,4,NP,nmass,1.425,2.265,0.422,0.532,0.244,0.376,3,2
smith.us,plantago_lanceolata,4,N,nmass,1.229,1.873,0.235,0.114,0.135,0.081,3,2
smith.us,plantago_lanceolata,4,P,nmass,1.229,1.022,0.235,0.073,0.135,0.051,3,2
smith.us,plantago_lanceolata,4,NP,nmass,1.229,2.058,0.235,0.457,0.135,0.323,3,2
summ.za,themeda_triandra,2,N,nmass,1.492,1.828,0.022,0.064,0.013,0.037,3,3
summ.za,themeda_triandra,2,P,nmass,1.492,1.662,0.022,0.232,0.013,0.134,3,3
summ.za,themeda_triandra,2,NP,nmass,1.492,1.665,0.022,0.029,0.013,0.017,3,3
valm.ch,anthoxanthum_odoratum,3,N,nmass,3.201,4.911,1.400,1.033,0.808,0.597,3,3
valm.ch,anthoxanthum_odoratum,3,P,nmass,3.201,3.351,1.400,1.095,0.808,0.632,3,3
valm.ch,anthoxanthum_odoratum,3,NP,nmass,3.201,4.130,1.400,0.819,0.808,0.473,3,3
valm.ch,festuca_rubra,3,N,nmass,2.165,3.490,0.350,0.339,0.202,0.196,3,3
valm.ch,festuca_rubra,3,P,nmass,2.165,2.233,0.350,0.640,0.202,0.370,3,3
valm.ch,festuca_rubra,3,NP,nmass,2.165,3.530,0.350,0.257,0.202,0.148,3,3
valm.ch,galium_anisophyllon,3,N,nmass,2.383,3.829,0.079,1.053,0.046,0.608,3,3
valm.ch,galium_anisophyllon,3,P,nmass,2.383,2.324,0.079,0.111,0.046,0.064,3,3
valm.ch,galium_anisophyllon,3,NP,nmass,2.383,3.321,0.079,0.320,0.046,0.185,3,3
valm.ch,potentilla_crantzii,3,N,nmass,2.912,4.704,0.255,0.722,0.147,0.417,3,3
valm.ch,potentilla_crantzii,3,P,nmass,2.912,2.718,0.255,0.079,0.147,0.046,3,3
valm.ch,potentilla_crantzii,3,NP,nmass,2.912,3.750,0.255,0.282,0.147,0.163,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,N,nmass,2.311,3.806,0.680,0.904,0.393,0.522,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,P,nmass,2.311,2.526,0.680,0.486,0.393,0.281,3,3
valm.ch,thymus_praecox_ssp._polytrichus,3,NP,nmass,2.311,2.960,0.680,0.350,0.393,0.202,3,3
valm.ch,trifolium_pratense,3,N,nmass,3.646,5.020,1.420,1.580,0.820,0.912,3,3
valm.ch,trifolium_pratense,3,P,nmass,3.646,3.808,1.420,1.483,0.820,0.856,3,3
valm.ch,trifolium_pratense,3,NP,nmass,3.646,4.022,1.420,1.448,0.820,0.836,3,3
bogong.au,craspedia_jamesii,2,N,narea,2.921,7.630,0.463,7.218,0.267,5.104,3,2
bogong.au,craspedia_jamesii,2,P,narea,2.921,3.128,0.463,0.001,0.267,0.000,3,2
bogong.au,craspedia_jamesii,2,NP,narea,2.921,2.951,0.463,0.261,0.267,0.151,3,3
bogong.au,poa_hiemata,2,N,narea,2.496,2.755,0.988,0.822,0.571,0.474,3,3
bogong.au,poa_hiemata,2,P,narea,2.496,3.156,0.988,0.251,0.571,0.145,3,3
bogong.au,poa_hiemata,2,NP,narea,2.496,3.029,0.988,1.163,0.571,0.823,3,2
bogong.au,rumex_acetosella,2,N,narea,2.487,2.911,0.454,0.917,0.262,0.649,3,2
bogong.au,rumex_acetosella,2,P,narea,2.487,1.887,0.454,0.646,0.262,0.373,3,3
bogong.au,rumex_acetosella,2,NP,narea,2.487,2.353,0.454,0.424,0.262,0.245,3,3
burrawan.au,epaltes_australis,3,N,narea,2.433,2.435,0.334,0.607,0.193,0.351,3,3
burrawan.au,epaltes_australis,3,P,narea,2.433,3.105,0.334,0.954,0.193,0.551,3,3
burrawan.au,epaltes_australis,3,NP,narea,2.433,2.740,0.334,1.208,0.193,0.697,3,3
burrawan.au,eragrostis_curvula,3,N,narea,3.456,4.902,0.854,2.474,0.493,1.428,3,3
burrawan.au,eragrostis_curvula,3,P,narea,3.456,3.773,0.854,0.626,0.493,0.361,3,3
burrawan.au,eragrostis_curvula,3,NP,narea,3.456,4.958,0.854,0.857,0.493,0.606,3,2
burrawan.au,eragrostis_sororia,3,N,narea,2.411,3.066,0.582,0.452,0.412,0.261,2,3
burrawan.au,eragrostis_sororia,3,P,narea,2.411,2.278,0.582,0.268,0.412,0.155,2,3
burrawan.au,eragrostis_sororia,3,NP,narea,2.411,3.486,0.582,0.262,0.412,0.151,2,3
burrawan.au,fimbristylis_dichotoma,3,N,narea,2.577,2.600,0.336,0.189,0.194,0.109,3,3
burrawan.au,fimbristylis_dichotoma,3,P,narea,2.577,2.065,0.336,0.615,0.194,0.355,3,3
burrawan.au,fimbristylis_dichotoma,3,NP,narea,2.577,3.021,0.336,0.525,0.194,0.303,3,3
cbgb.us,schizachyrium_scoparium,3,N,narea,1.055,1.224,0.370,0.163,0.213,0.115,3,2
cbgb.us,schizachyrium_scoparium,3,P,narea,1.055,1.152,0.370,0.323,0.213,0.187,3,3
cbgb.us,schizachyrium_scoparium,3,NP,narea,1.055,1.562,0.370,0.763,0.213,0.440,3,3
cowi.ca,alopecurus_pratensis,4,N,narea,2.246,1.904,0.165,0.166,0.095,0.096,3,3
cowi.ca,alopecurus_pratensis,4,P,narea,2.246,2.541,0.165,1.552,0.095,0.896,3,3
cowi.ca,alopecurus_pratensis,4,NP,narea,2.246,2.206,0.165,0.260,0.095,0.150,3,3
elliot.us,erodium_botrys,3,N,narea,1.542,1.453,0.224,0.260,0.129,0.150,3,3
elliot.us,erodium_botrys,3,P,narea,1.542,1.454,0.224,0.126,0.129,0.073,3,3
elliot.us,erodium_botrys,3,NP,narea,1.542,1.497,0.224,0.211,0.129,0.122,3,3
elliot.us,lolium_multiflorum,3,N,narea,1.239,1.247,0.051,0.185,0.030,0.131,3,2
elliot.us,lolium_multiflorum,3,P,narea,1.239,1.335,0.051,0.110,0.030,0.078,3,2
elliot.us,lolium_multiflorum,3,NP,narea,1.239,1.526,0.051,0.295,0.030,0.170,3,3
elliot.us,nassella_pulchra,3,N,narea,1.945,1.658,1.042,0.105,0.602,0.060,3,3
elliot.us,nassella_pulchra,3,P,narea,1.945,1.463,1.042,0.062,0.602,0.043,3,2
