Literature,Category,Variable,Unit,Trt_aCO2 ,Trt_eCO2 ,Trt_CO2_unit,Trt_aP,Trt_eP,Trt_P_unit,Sample Size,aCaP_mean,aCaP_pos,aCaP_neg,aCeP_mean,aCeP_pos,aCeP_neg,eCaP_mean,eCaP_pos,eCaP_neg,eCeP_mean,eCeP_pos,eCeP_neg,Confidence interval type,Species,Vegetation_type,Soil_weight_in_pot,Soil_weight_unit,Pot_volume ,Pot_volume_unit,Experiment_duration,Experimental_duration_unit,Mycorrhizae_Literature,Mycorrhizae,Soil_growth_condition,CO2_exposure_type
Conroy et al. 1990b,Biomass,Aboveground biomass,g plant-1,340,660,ppm,15,100,kg P ha-1,6,3.86,5.79,1.93,8.8,13.2,4.4,5.89,8.835,2.945,13.74,20.61,6.87,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Newbery et al. 1995,Biomass,Leaf P content,mg/dry shoot,358,608,ppm,2,30,mg L-1,9,1.58,1.893333333,1.266666667,6.9225,7.965,5.88,0.933333333,1.066666667,0.8,7.5425,8.73,6.355,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Biomass,Leaf P content,mg/dry shoot,358,608,ppm,10,30,mg L-1,9,3.383333333,3.78,2.986666667,6.9225,7.965,5.88,3.886666667,4.706666667,3.066666667,7.5425,8.73,6.355,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Biomass,Leaf N content,mg/dry shoot,358,608,ppm,2,30,mg L-1,9,16.70333333,18.77,14.63666667,21.65,25.015,18.285,16.89333333,18.16333333,15.62333333,24.2675,28.0825,20.4525,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Biomass,Leaf N content,mg/dry shoot,358,608,ppm,10,30,mg L-1,9,17.86666667,19.57666667,16.15666667,21.65,25.015,18.285,19.9,23.84,15.96,24.2675,28.0825,20.4525,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Concentration,Leaf P concentration,% dwt,358,608,ppm,2,30,mg L-1,9,0.093333333,0.11,0.076666667,0.2995,0.3295,0.2695,0.074333333,0.081,0.067666667,0.25825,0.27825,0.23825,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Concentration,Leaf P concentration,% dwt,358,608,ppm,10,30,mg L-1,9,0.181,0.194333333,0.167666667,0.2995,0.3295,0.2695,0.176,0.199333333,0.152666667,0.25825,0.27825,0.23825,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Concentration,Leaf N concentration,% dwt,358,608,ppm,2,30,mg L-1,9,0.853333333,0.93,0.776666667,0.8975,0.9725,0.8225,0.796666667,0.83,0.763333333,0.805,0.84,0.77,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Concentration,Leaf N concentration,% dwt,358,608,ppm,10,30,mg L-1,9,0.926666667,0.976666667,0.876666667,0.8975,0.9725,0.8225,0.84,0.92,0.76,0.805,0.84,0.77,SE,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Biomass,Leaf P content,g P plant-1,358,608,ppm,2,30,mg L-1,6,0.079577,NA,NA,0.32325,NA,NA,0.066875,NA,NA,0.339365,NA,NA,NA,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Newbery et al. 1995,Biomass,Leaf P content,g P plant-1,358,608,ppm,10,30,mg L-1,6,0.150846667,NA,NA,0.32325,NA,NA,0.20028,NA,NA,0.339365,NA,NA,NA,Agrostis capillaris,Nonwoody,NA,NA,NA,NA,161,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Conroy et al. 1990b,Biomass,Aboveground biomass,g plant-1,340,660,ppm,15,100,kg P ha-1,6,4.22,4.63,3.59,10.35,10.89,9.57,5.3,6.21,4.48,13.77,14.37,12.8,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Stocklin and Korner 1999,Biomass,Root biomass,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,25.6,31,20.2,28.8,34.25,23.35,48,63.5,32.5,43,50.35,35.65,SE,Anthoxanthum odoratum,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,AM,restricted,chambers
Stocklin and Korner 1999,Biomass,Total plant biomass ,g m-2,360,600,ppm,0,1,g P m-2 a-1,8,48.975,54.375,43.575,50.3,55.75,44.85,89.6,105.1,74.1,79.9,87.25,72.55,SE,Anthoxanthum odoratum,Nonwoody,NA,NA,0.024336,dm3,550,NA,Soudzilovshaia et al. 2019,AM,restricted,chambers
Conroy et al. 1990b,Biomass,Aboveground biomass,g plant-1,340,660,ppm,15,100,kg P ha-1,6,4.09,6.135,2.045,8.89,13.335,4.445,4.91,7.365,2.455,12.82,19.23,6.41,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Conroy et al. 1990b,Biomass,Aboveground biomass,g plant-1,340,660,ppm,15,100,kg P ha-1,6,4.37,5,3.52,10.02,10.85,9.23,5.23,6.22,4.51,13.28,14.15,12.23,SE,Pinus radiata,Woody,4000,g,NA,NA,182,Days,Soudzilovshaia et al. 2019,ECM,Restricted,Chambers
Dey et al. 2017a,Biomass,Aboveground biomass ,g plant-1,400,800,ppm,8,20,mg P kg-1 soil,6,15.8,NA,NA,17.3,NA,NA,18,NA,NA,20.2,NA,NA,NA,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Dey et al. 2017a,Biomass,Aboveground biomass ,g plant-1,400,800,ppm,16,20,mg P kg-1 soil,6,17,NA,NA,17.3,NA,NA,19.3,NA,NA,20.2,NA,NA,NA,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Jakobsen et al. 2016,Morphology,Total root length,m,400,900,ppm,4.3,39.6,mg P kg-1 soil,3,70.83,70.84,70.82,85.84,107.465,64.215,89.61,89.62,89.6,109.345,133.225,85.465,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Morphology,Total root length,m,400,900,ppm,7.8,39.6,mg P kg-1 soil,3,93.045,104.035,82.055,85.84,107.465,64.215,64.21,71.07,57.35,109.345,133.225,85.465,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Morphology,Total root length,m,400,900,ppm,11.2,39.6,mg P kg-1 soil,3,88.24,97.17,79.31,85.84,107.465,64.215,120.515,134.25,106.78,109.345,133.225,85.465,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Morphology,Total root length,m,400,900,ppm,19.8,39.6,mg P kg-1 soil,3,78.285,91.335,65.235,85.84,107.465,64.215,121.89,135.62,108.16,109.345,133.225,85.465,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Concentration,Leaf P concentration,mg P g-1 DW,400,900,ppm,4.3,39.6,mg P kg-1 soil,3,2.325,NA,NA,5.445,NA,NA,2.06,NA,NA,4.33,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Concentration,Leaf P concentration,mg P g-1 DW,400,900,ppm,7.8,39.6,mg P kg-1 soil,3,2.81,NA,NA,5.445,NA,NA,2.495,NA,NA,4.33,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Concentration,Leaf P concentration,mg P g-1 DW,400,900,ppm,11.2,39.6,mg P kg-1 soil,3,3.29,NA,NA,5.445,NA,NA,2.8,NA,NA,4.33,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Concentration,Leaf P concentration,mg P g-1 DW,400,900,ppm,19.8,39.6,mg P kg-1 soil,3,4.12,NA,NA,5.445,NA,NA,3.52,NA,NA,4.33,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Nutrient Uptake,Plant P uptake,ug P root-1,400,900,ppm,4.3,39.6,mg P kg-1 soil,3,1238.46255,NA,NA,3949.4984,NA,NA,2121.51675,NA,NA,4466.196525,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Nutrient Uptake,Plant P uptake,ug P root-1,400,900,ppm,7.8,39.6,mg P kg-1 soil,3,2428.4745,NA,NA,3949.4984,NA,NA,1364.78355,NA,NA,4466.196525,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Nutrient Uptake,Plant P uptake,ug P root-1,400,900,ppm,11.2,39.6,mg P kg-1 soil,3,2374.0972,NA,NA,3949.4984,NA,NA,2788.7171,NA,NA,4466.196525,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Nutrient Uptake,Plant P uptake,ug P root-1,400,900,ppm,19.8,39.6,mg P kg-1 soil,3,2569.705125,NA,NA,3949.4984,NA,NA,4099.77015,NA,NA,4466.196525,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Biomass,Leaf P content,mg P plant-1,400,900,ppm,4.3,39.6,mg P kg-1 soil,3,4.62675,NA,NA,15.19155,NA,NA,2.7913,NA,NA,9.2229,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Biomass,Leaf P content,mg P plant-1,400,900,ppm,7.8,39.6,mg P kg-1 soil,3,5.85885,NA,NA,15.19155,NA,NA,3.530425,NA,NA,9.2229,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Biomass,Leaf P content,mg P plant-1,400,900,ppm,11.2,39.6,mg P kg-1 soil,3,8.3566,NA,NA,15.19155,NA,NA,4.69,NA,NA,9.2229,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Jakobsen et al. 2016,Biomass,Leaf P content,mg P plant-1,400,900,ppm,19.8,39.6,mg P kg-1 soil,3,11.7832,NA,NA,15.19155,NA,NA,5.6496,NA,NA,9.2229,NA,NA,SE,Brachypodium distachyon,Nonwoody,1430,g,NA,NA,35,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Dey et al. 2017a,Biomass,Aboveground biomass ,g plant-1,400,800,ppm,12,20,mg P kg-1 soil,6,16.5,NA,NA,17.3,NA,NA,18.5,NA,NA,20.2,NA,NA,NA,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Dey et al. 2017a,Biomass,Aboveground biomass ,g plant-1,400,550,ppm,0,20,mg P kg-1 soil,6,13.2,NA,NA,17.3,NA,NA,14.7,NA,NA,20.2,NA,NA,NA,Vigna radiata,Nonwoody,NA,NA,NA,NA,45,Days,Soudzilovshaia et al. 2019,AM,restricted,FACE
Edwards et al. 2005,Biomass,Aboveground biomass,t ha-1,360,700,ppm,0.4,0.5,mM P,6,7.2,NA,NA,7.07,NA,NA,8.95,NA,NA,12.62,NA,NA,SE,Trifolium repens,Nonwoody,NA,NA,0.0874125,dm3,465,Days,Soudzilovshaia et al. 2019,AM,restricted,chambers
Whitehead et al. 1997,Biomass,Root biomass,g plant-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,0.24,0.33,0.15,1.39,1.64,1.14,0.82,0.96,0.68,1.5,1.61,1.39,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
Whitehead et al. 1997,Gas Exchange,CO2 assimilation rate,umol m-2 s-1,355,539,ppm,0,20,kg P ha-1 yr-1,5,1.37,2.03,0.71,6.76,7.62,5.9,5.43,6.66,4.2,15.62,20.25,10.99,SE,Calluna vulgaris,Nonwoody,NA,NA,NA,NA,240,Days,Soudzilovshaia et al. 2019,ERM,restricted,chambers
